,Searched,City,State,Lat,Lng,Restaurant,Category,Transactions,Category 1,Category 2,Category 3,Vegan Options,POPESTIMATE2019
0,"Parker, Arizona",Parker,AZ,34.15076,-114.29109,Tierra Caliente,['Mexican'],[],Mexican,,,0,3207
1,"Parker, Arizona",Parker,AZ,34.2319392,-114.1876047,Roadrunner Floating Dock Bar,"['Bars', 'Seafood', 'American (Traditional)']",[],Bars,Seafood,American (Traditional),0,3207
2,"Parker, Arizona",Parker,AZ,34.18433853,-114.2255894,Mi Tierra,['Mexican'],[],Mexican,,,0,3207
3,"Parker, Arizona",Parker,AZ,34.21661084,-114.2018723,Stroke's Bar & Grill,"['Bars', 'American (Traditional)', 'Steakhouses']",[],Bars,American (Traditional),Steakhouses,0,3207
4,"Parker, Arizona",Parker,AZ,34.224453,-114.191903,Pirate's Den Bar & Grill,"['American (Traditional)', 'Bars', 'Steakhouses']",[],American (Traditional),Bars,Steakhouses,0,3207
5,"Parker, Arizona",Parker,AZ,34.151346,-114.285858,Mayas' Restaurant & Sports Cantina,"['Mexican', 'American (New)', 'Sports Bars']",[],Mexican,American (New),Sports Bars,0,3207
6,"Parker, Arizona",Parker,AZ,34.19641212,-114.222557,JA Johnny's Cafe,"['American (Traditional)', 'Pizza', 'Breakfast & Brunch']",[],American (Traditional),Pizza,Breakfast & Brunch,0,3207
7,"Parker, Arizona",Parker,AZ,34.15085748,-114.287646,China Garden,['Chinese'],[],Chinese,,,0,3207
8,"Parker, Arizona",Parker,AZ,34.16658986,-114.2668719,River Willow,"['Steakhouses', 'Italian', 'Seafood']",[],Steakhouses,Italian,Seafood,0,3207
9,"Parker, Arizona",Parker,AZ,34.226132,-114.189997,Black Pearl Restaurant,"['Bars', 'American (Traditional)']",[],Bars,American (Traditional),,0,3207
10,"Parker, Arizona",Parker,AZ,34.153893,-114.2804915,El Sarape Restaurant,['Mexican'],[],Mexican,,,0,3207
11,"Parker, Arizona",Parker,AZ,34.23183774,-114.1874639,Club Roadrunner,"['Dance Clubs', 'Diners', 'American (Traditional)']",[],Dance Clubs,Diners,American (Traditional),0,3207
