SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
162,4,0,53070,0,0,0,A,Parker,Arizona,3083,3083,3060,3124,3033,3097,3096,3081,3071,3077,3192,3207
162,5,0,72350,0,0,0,A,Waldo,Arkansas,1372,1395,1390,1384,1367,1354,1335,1329,1315,1289,1275,1265
162,6,0,2042,0,0,0,A,Anderson,California,9932,9968,9976,10024,10061,10123,10188,10179,10193,10369,10486,10630
162,6,0,54232,0,0,0,A,Orinda,California,17643,17759,17820,18124,18333,18674,18973,19251,19521,19707,19821,19926
162,8,0,48060,0,0,0,A,Manassa,Colorado,991,991,999,997,992,988,994,977,978,990,997,1001
162,10,0,10760,0,0,0,A,Camden,Delaware,3464,3440,3450,3456,3467,3458,3468,3458,3452,3468,3493,3551
162,12,0,50950,0,0,0,A,Ocean Ridge,Florida,1786,1785,1787,1803,1823,1841,1871,1896,1921,1943,1951,1956
162,12,0,60975,0,0,0,A,Riviera Beach,Florida,32488,32540,32589,32813,33148,33433,33724,34090,34459,34701,34780,35463
162,13,0,2116,0,0,0,A,Americus,Georgia,17041,17116,17019,16659,16374,16215,16155,15859,15703,15431,15356,15108
162,13,0,75832,0,0,0,A,Temple,Georgia,4228,4343,4349,4346,4352,4384,4384,4433,4503,4527,4563,4795
162,17,0,31771,0,0,0,A,Griggsville,Illinois,1226,1226,1223,1217,1208,1193,1182,1176,1171,1163,1154,1150
162,17,0,39519,0,0,0,A,Kenilworth,Illinois,2513,2508,2508,2513,2523,2557,2566,2559,2539,2515,2490,2475
162,17,0,51128,0,0,0,A,Mount Pulaski,Illinois,1566,1563,1562,1553,1538,1533,1520,1505,1499,1489,1481,1464
162,17,0,61977,0,0,0,A,Prophetstown,Illinois,2080,2078,2077,2066,2044,2032,2007,2001,1986,1968,1950,1939
162,17,0,75185,0,0,0,A,Thornton,Illinois,2338,2388,2388,2397,2401,2404,2399,2488,2470,2447,2419,2401
162,17,0,79085,0,0,0,A,Washington Park,Illinois,4196,4196,4192,4146,4102,4059,4027,3985,3965,3942,3907,3865
162,18,0,8146,0,0,0,A,Brookston,Indiana,1554,1576,1578,1573,1565,1557,1560,1548,1533,1538,1535,1533
162,18,0,50760,0,0,0,A,Monticello,Indiana,5378,5384,5393,5372,5344,5329,5335,5298,5254,5266,5256,5243
162,18,0,60822,0,0,0,A,Plymouth,Indiana,10033,10138,10131,10144,10130,10120,10176,10132,10081,10034,10000,9982
162,18,0,78326,0,0,0,A,Valparaiso,Indiana,31730,31743,31794,31966,32014,32192,32344,32503,32962,33409,33719,33897
162,18,0,79694,0,0,0,A,Walkerton,Indiana,2144,2145,2144,2165,2248,2249,2253,2257,2264,2263,2262,2256
162,18,0,83384,0,0,0,A,West Terre Haute,Indiana,2236,2236,2237,2250,2251,2247,2240,2231,2239,2221,2214,2208
162,19,0,17265,0,0,0,A,Creston,Iowa,7834,7834,7824,7852,7864,7888,7929,7813,7768,7850,7750,7713
162,19,0,48500,0,0,0,A,Maharishi Vedic City,Iowa,259,1294,1294,1298,1299,1302,1305,1303,1302,1299,1298,1295
162,20,0,5600,0,0,0,A,Belleville,Kansas,1991,1990,1973,1955,1930,1907,1899,1897,1888,1884,1884,1879
162,20,0,47225,0,0,0,A,Mission,Kansas,9323,9317,9328,9406,9455,9499,9470,9474,9458,9418,9390,9911
162,20,0,61400,0,0,0,A,Rossville,Kansas,1151,1163,1165,1163,1162,1156,1151,1148,1144,1139,1130,1124
162,20,0,76000,0,0,0,A,Wathena,Kansas,1364,1357,1361,1358,1346,1341,1338,1330,1318,1306,1306,1294
162,21,0,1504,0,0,0,A,Anchorage,Kentucky,2348,2346,2349,2365,2379,2403,2409,2420,2427,2434,2427,2423
162,21,0,17848,0,0,0,A,Covington,Kentucky,40640,40506,40499,40470,40592,40860,40776,40750,40655,40518,40421,40341
162,21,0,53130,0,0,0,A,Monticello,Kentucky,6188,6182,6190,6201,6172,6154,6102,6094,6121,6086,6022,5988
162,21,0,81858,0,0,0,A,West Liberty,Kentucky,3435,3481,3301,3306,3229,3253,3270,3277,3315,3306,3495,3520
162,22,0,4055,0,0,0,A,Ball,Louisiana,4000,3993,3994,3996,3993,3999,4000,3978,3990,3987,3953,3935
