<<<<<<< HEAD
,Searched,City,State,Lat,Lng,Restaurant,Category,Category 2,Category 3,Transactions
0,"Madison city, Alabama",Madison,AL,34.70112,-86.7418,Jack's,Burgers,,,[]
1,"Madison city, Alabama",Madison,AL,34.752378,-86.746361,Ricks Barbecue - Madison,Barbeque,Southern,,[]
2,"Madison city, Alabama",Madison,AL,34.70612,-86.74393,Old Mexico Cantina,Mexican,,,[]
3,"Madison city, Alabama",Madison,AL,34.752606,-86.75148,ChuckWagon BBQ,Barbeque,,,[]
4,"Madison city, Alabama",Madison,AL,34.707256,-86.7505978,Culver's,Burgers,,Fast Food,[]
5,"Madison city, Alabama",Madison,AL,34.7342135208261,-86.7276399981109,Rainbow Mountain,Hiking,Ice Cream & Frozen Yogurt,,"['delivery', 'pickup']"
6,"Madison city, Alabama",Madison,AL,34.7539602928464,-86.7375708440863,Teriyaki Madness,Japanese,,,[]
7,"Madison city, Alabama",Madison,AL,34.749620737273,-86.7601488731528,Dunkin',Coffee & Tea,Asian Fusion,,"['delivery', 'pickup']"
8,"Madison city, Alabama",Huntsville,AL,34.755576,-86.711302,Handel's Homemade Ice Cream,Ice Cream & Frozen Yogurt,,Juice Bars & Smoothies,[]
9,"Madison city, Alabama",Madison,AL,34.74682,-86.76683,Cajun Cravin',Food Trucks,Donuts,Caterers,['delivery']
10,"Madison city, Alabama",Madison,AL,34.753288269043,-86.7405166625977,Arbys,Fast Food,,,[]
11,"Madison city, Alabama",Madison,AL,34.7500601143764,-86.7548808984214,Moe's Southwest Grill,Tex-Mex,Desserts,,[]
12,"Madison city, Alabama",Madison,AL,34.69662,-86.74243,Insanity Complex,Mini Golf,Cajun/Creole,Skating Rinks,['delivery']
13,"Madison city, Alabama",Madison,AL,34.748309,-86.774186,Chili's,Bars,Sandwiches,Tex-Mex,[]
14,"Madison city, Alabama",Madison,AL,34.748045,-86.773961,IHOP,American (Traditional),,Burgers,"['delivery', 'pickup']"
15,"Madison city, Alabama",Madison,AL,34.7484064871216,-86.7726735770702,Zaxby's Chicken Fingers & Buffalo Wings,Salad,Mexican,Fast Food,[]
16,"Madison city, Alabama",Huntsville,AL,34.7562757275455,-86.7105186332448,El Olmeca Mexican Cantina,Mexican,,,[]
17,"Madison city, Alabama",Madison,AL,34.753673,-86.740158603736,Starbucks,Coffee & Tea,Skate Parks,,[]
18,"Madison city, Alabama",Madison,AL,34.748383,-86.773272,Panda Express,Chinese,American (Traditional),,['delivery']
19,"Madison city, Alabama",Madison,AL,34.7067432925532,-86.7340916808896,Dublin Park,Parks,Breakfast & Brunch,,"['pickup', 'delivery']"
20,"Madison city, Alabama",Madison,AL,34.6913332577869,-86.718855,Jersey Mike's Subs,Fast Food,Chicken Wings,Delis,"['pickup', 'restaurant_reservation', 'delivery']"
21,"Madison city, Alabama",Madison,AL,34.7077752357321,-86.7414261,Subway,Sandwiches,,,[]
22,"Madison city, Alabama",Madison,AL,34.7498132075642,-86.7545749498529,Zen Beri,Ice Cream & Frozen Yogurt,,,"['pickup', 'restaurant_reservation', 'delivery']"
23,"Madison city, Alabama",Madison,AL,34.7108462057609,-86.7770436749554,Bradford Creek Greenway,Hiking,Fast Food,,"['pickup', 'delivery']"
24,"Madison city, Alabama",Madison,AL,34.74682,-86.76683,Rocket City Craft Beer,Beer Bar,,,[]
25,"Madison city, Alabama",Madison,AL,34.7495511148694,-86.7588783055544,The Dessert Fork,Bakeries,,Desserts,"['pickup', 'delivery']"
26,"Madison city, Alabama",Madison,AL,34.7524040669115,-86.7511469162009,Salsarita's Fresh Cantina,Mexican,Sandwiches,,"['pickup', 'delivery']"
27,"Madison city, Alabama",Madison,AL,34.706903,-86.72369,Which Wich,Fast Food,,,"['pickup', 'delivery']"
28,"Madison city, Alabama",Madison,AL,34.7530343540447,-86.7429998004257,Jack's,Burgers,,,"['pickup', 'delivery']"
29,"Madison city, Alabama",Madison,AL,34.749195,-86.755652,Starbucks,Coffee & Tea,Parks,,"['pickup', 'delivery']"
30,"Madison city, Alabama",Madison,AL,34.7527806,-86.7404794,Waffle House,Breakfast & Brunch,,Diners,"['pickup', 'delivery']"
31,"Madison city, Alabama",Huntsville,AL,34.6931841,-86.7493177,Zion Gourmet Popcorn,Popcorn Shops,,Gelato,"['pickup', 'delivery']"
32,"Madison city, Alabama",Madison,AL,34.7515993959032,-86.7502548104334,Hardee's,Burgers,Custom Cakes,,['delivery']
33,"Madison city, Alabama",Huntsville,AL,34.7560904780608,-86.713533885777,Texas Roadhouse,Steakhouses,,,"['pickup', 'delivery']"
34,"Madison city, Alabama",Madison,AL,34.708816,-86.741405,Burger King,Burgers,Sandwiches,,"['pickup', 'delivery']"
35,"Madison city, Alabama",Madison,AL,34.7110481,-86.7414093,Domino's Pizza,Pizza,,Sandwiches,"['pickup', 'delivery']"
36,"Madison city, Alabama",Madison,AL,34.753261,-86.747151,Taco Bell,Fast Food,,,[]
37,"Madison city, Alabama",Madison,AL,34.7518,-86.74932,McDonald's,Burgers,,Coffee & Tea,"['pickup', 'delivery']"
38,"Madison city, Alabama",Madison,AL,34.7527601,-86.7438768,Sonic Drive-In,Burgers,American (Traditional),Ice Cream & Frozen Yogurt,['delivery']
39,"Madison city, Alabama",Madison,AL,34.7495177477901,-86.7403597737161,Little Caesar's Pizza,Pizza,Desserts,,"['pickup', 'delivery']"
40,"Madison city, Alabama",Madison,AL,34.7511299587523,-86.7735669800338,Subway,Sandwiches,Fast Food,,"['pickup', 'delivery']"
41,"Madison city, Alabama",Madison,AL,34.7538092,-86.7444255,KFC,Chicken Wings,,Chicken Shop,"['pickup', 'delivery']"
42,"Madison city, Alabama",Madison,AL,34.7561675593993,-86.7324732152519,Dairy Queen,Ice Cream & Frozen Yogurt,Barbeque,,"['pickup', 'delivery']"
43,"Madison city, Alabama",Madison,AL,34.728245,-86.749695,Papa Jack's E Z Stop,Pizza,,Convenience Stores,"['pickup', 'delivery']"
44,"Madison city, Alabama",Huntsville,AL,34.7478421032429,-86.7675364762545,Firehouse Subs,Fast Food,Fast Food,Sandwiches,['delivery']
45,"Madison city, Alabama",Madison,AL,34.75607,-86.71474,Far-Out Cones,Desserts,,Ice Cream & Frozen Yogurt,"['pickup', 'delivery']"
46,"Madison city, Alabama",Madison,AL,34.707169,-86.748748,Papa Murphy's,Pizza,Chicken Wings,,"['pickup', 'delivery']"
47,"Madison city, Alabama",Madison,AL,34.7546331456675,-86.7404724622804,Wendy's,Burgers,Mexican,,"['pickup', 'delivery']"
48,"Madison city, Alabama",Madison,AL,34.7538574267684,-86.748881898903,Subway,Sandwiches,,,['delivery']
49,"Madison city, Alabama",Madison,AL,34.7538216603459,-86.7489251558046,Pizza Hut,Pizza,Fast Food,Chicken Wings,"['delivery', 'pickup']"
50,"North Bergen township, New Jersey",North Bergen,NJ,40.7935942380761,-74.0197145193815,Shaky's,Acai Bowls,Fast Food,Sandwiches,"['delivery', 'pickup']"
