Searched,City,State,Lat,Lng,Restaurant,Category,Transactions,Category 1,Category 2,Category 3,Vegan Options
"Alameda city, California",17,17,17,17,17,17,17,17,16,14,17
"Arcadia city, California",6,6,6,6,6,6,6,6,5,5,6
"Bellflower city, California",7,7,7,7,7,7,7,7,7,7,7
"Berkeley city, California",27,27,27,27,27,27,27,27,27,22,27
"Bradenton city, Florida",1,1,1,1,1,1,1,1,1,1,1
"Brookhaven city, Georgia",9,9,9,9,9,9,9,9,7,7,9
"Cambridge city, Massachusetts",25,25,25,25,25,25,25,25,23,18,25
"Carmel city, Indiana",2,2,2,2,2,2,2,2,2,2,2
"Champaign city, Illinois",2,2,2,2,2,2,2,2,2,2,2
"Chesapeake city, Virginia",4,4,4,4,4,4,4,4,3,2,4
"Chico city, California",4,4,4,4,4,4,4,4,4,4,4
"Cincinnati city, Ohio",8,8,8,8,8,8,8,8,8,8,8
"Citrus Heights city, California",9,9,9,9,9,9,9,9,8,7,9
"Colonie town, New York",4,4,4,4,4,4,4,4,4,3,4
"Daly City city, California",4,4,4,4,4,4,4,4,4,4,4
"Denton city, Texas",6,6,6,6,6,6,6,6,5,4,6
"Doral city, Florida",18,18,18,18,18,18,18,18,18,16,18
"Dundee township, Illinois",1,1,1,1,1,1,1,1,1,1,1
"Durham city, North Carolina",11,11,11,11,11,11,11,11,11,10,11
"Elk Grove city, California",3,3,3,3,3,3,3,3,3,1,3
"Fairfield township, Indiana",1,1,1,1,1,1,1,1,1,1,1
"Fall River city, Massachusetts",1,1,1,1,1,1,1,1,1,1,1
"Hollywood city, Florida",16,16,16,16,16,16,16,16,14,11,16
"Hoover city, Alabama",1,1,1,1,1,1,1,1,1,1,1
"Lowell city, Massachusetts",3,3,3,3,3,3,3,3,3,3,3
"Lyons township, Illinois",1,1,1,1,1,1,1,1,1,1,1
"Madison city, Alabama",1,1,1,1,1,1,1,1,1,1,1
"New Rochelle city, New York",4,4,4,4,4,4,4,4,4,2,4
"Newport Beach city, California",19,19,19,19,19,19,19,19,18,16,19
"Norwalk city, Connecticut",3,3,3,3,3,3,3,3,3,2,3
"Oceanside city, California",5,5,5,5,5,5,5,5,5,3,5
"Passaic city, New Jersey",5,5,5,5,5,5,5,5,5,4,5
"Peabody city, Massachusetts",4,4,4,4,4,4,4,4,4,4,4
"Peoria city, Arizona",2,2,2,2,2,2,2,2,2,2,2
"Perry township, Indiana",1,1,1,1,1,1,1,1,1,0,1
"Perth Amboy city, New Jersey",3,3,3,3,3,3,3,3,3,2,3
"Plainfield city, New Jersey",4,4,4,4,4,4,4,4,4,3,4
"Pleasanton city, California",4,4,4,4,4,4,4,4,3,2,4
"Proviso township, Illinois",5,5,5,5,5,5,5,5,5,5,5
"Rock Hill city, South Carolina",2,2,2,2,2,2,2,2,2,2,2
"Santa Barbara city, California",10,10,10,10,10,10,10,10,9,8,10
"Sarasota city, Florida",9,9,9,9,9,9,9,9,9,9,9
"Simi Valley city, California",2,2,2,2,2,2,2,2,2,1,2
"Springfield city, Missouri",1,1,1,1,1,1,1,1,1,0,1
"Stonecrest city, Georgia",1,1,1,1,1,1,1,1,1,1,1
"Sunrise city, Florida",9,9,9,9,9,9,9,9,9,8,9
"Taylorsville city, Utah",5,5,5,5,5,5,5,5,5,4,5
"Travis County, Texas",22,22,22,22,22,22,22,22,22,17,22
"Tulsa city, Oklahoma",1,1,1,1,1,1,1,1,1,1,1
"Utica city, New York",2,2,2,2,2,2,2,2,2,2,2
"Warner Robins city, Georgia",1,1,1,1,1,1,1,1,1,1,1
"West Covina city, California",7,7,7,7,7,7,7,7,7,7,7
"Wichita city, Kansas",2,2,2,2,2,2,2,2,2,2,2
"Woodbridge township, New Jersey",6,6,6,6,6,6,6,6,6,5,6
